service,service-url,formerly,details,type,type-slug,category,category-slug,available,kiosk-friendly,kiosk-only,print-required,osssio,franchise
Book into a fire and emergency services fitness assessment,http://www.qld.gov.au/emergency/assessment-form.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Book into a Fire Safety Adviser course,http://www.qld.gov.au/emergency/fire-safety-adviser-course.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Book to get re-certified as a Fire Safety Adviser ,http://www.qld.gov.au/emergency/fire-safety-recert-course.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Book a Safehome visit,http://www.qld.gov.au/emergency/safety/safehome-booking.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Book an ambulance for a special event,http://www.qld.gov.au/emergency/emergencies-services/book-qas-event.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Update your ambulance booking for a special event,http://www.qld.gov.au/emergency/emergencies-services/book-qas-event.html,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Cancel first aid training,https://bookings.qld.gov.au/services/firstaid/cancel/,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Search and book first aid training,https://bookings.qld.gov.au/services/firstaid/course/Book%20a%20course,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Transfer to another first aid training course,https://bookings.qld.gov.au/services/firstaid/reschedule/,,,Apply for it,apply-for-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Request information from the Health Conditions Directory,http://conditions.health.qld.gov.au/HealthConditions,,,Find it,find-it,Health & wellbeing,health-and-wellbeing,yes,yes,no,yes,yes,
Request a call from a Quitline counsellor,https://www.qld.gov.au/health/staying-healthy/atods/smoking/quitline-callback/index.html,,,Apply for it,apply-for-it,Health & wellbeing,health-and-wellbeing,yes,yes,no,yes,yes,
Apply for a new weapons licence,http://www.qld.gov.au/law/crime-and-police/gun-licences/new-weapons-licence/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Apply for a weapons licence,http://www.police.qld.gov.au/forms/weaponslicensing.asp,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,no,
Apply for a weapons permit (permit to acquire),http://www.qld.gov.au/law/crime-and-police/gun-licences/how-to-get-a-permit-to-get-a-weapon/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Change your personal details on your weapons licence,http://www.qld.gov.au/law/crime-and-police/gun-licences/about-gun-licences/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Order a free chlamydia test kit,http://www.qld.gov.au/health/staying-healthy/sexual-health/chlamydia-test/index.html,,,Apply for it,apply-for-it,Health & wellbeing,health-and-wellbeing,yes,yes,no,yes,yes,
Add more information to a police report,http://www.police.qld.gov.au/apps/reports/supplementary/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Complete the crime tracker online form,http://www.police.qld.gov.au/apps/reports/crimeTracker,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Fill out the police Client Service Survey,http://www.police.qld.gov.au/apps/reports/clientServiceSurvey/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Pay a speed or red light camera fine,http://www.qld.gov.au/transport/safety/fines/pay/index.html#online,,,Pay it,pay-it,Transport and motoring,transport-and-motoring,yes,yes,no,no,yes,
Register a community fundraising event with the police,http://www.police.qld.gov.au/apps/reports/eventSafe,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report a crime to Crime Stoppers,TBA,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,no,
Register a party with the police,http://www.police.qld.gov.au/apps/reports/partySafe,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report a complaint against a police officer,http://www.qld.gov.au/law/laws-taxes-elections-and-complaints/complaints-and-accountability/police-officer-complaints/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report a traffic crash,https://www.police.qld.gov.au/apps/reports/trafficCrash,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Report an online auction fraud ,http://www.qld.gov.au/law/crime-and-police/register-or-report-to-police/report-a-crime-or-disturbance/report-online-fraud/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report cyber crime,http://www.qld.gov.au/law/crime-and-police/register-or-report-to-police/report-a-scam/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Report damage to property or graffiti,http://www.police.qld.gov.au/apps/reports/wilfuldamage,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report hooning to the police,http://www.police.qld.gov.au/apps/reports/hoonOnline,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report lost property to police,http://www.police.qld.gov.au/apps/reports/lostproperty,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report loud parties or other noises to the police,http://www.police.qld.gov.au/apps/reports/noiseComplaint/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report someone driving off without paying for fuel,http://www.police.qld.gov.au/apps/reports/fuelDriveoff,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report stolen property to the police,http://www.police.qld.gov.au/apps/reports/stolenProperty/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report suspicious activity in rural areas to the police,https://www.police.qld.gov.au/apps/reports/suspiciousActivities,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Report suspicious activity to the police,http://www.qld.gov.au/law/crime-and-police/register-or-report-to-police/report-a-crime-or-disturbance/report-suspicious-activity/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report taxi fare evasion to police,http://www.police.qld.gov.au/apps/reports/fareEvasion/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report your motorbike group ride,http://www.qld.gov.au/law/crime-and-police/register-or-report-to-police/register-an-event-or-intention/register-your-motorbike-group-ride/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Learn about asbestos,http://www.qld.gov.au/emergency/safety/asbestos.html,,,Find it,find-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,yes,no,
Withdraw a complaint about a crime or disturbance,http://www.police.qld.gov.au/apps/reports/withdrawComplaint/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Apply for an electrical worker licence,https://www.business.qld.gov.au/industry/building-construction/electrical-contracting/licences/applying,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Renew an electrical worker licence,https://www.business.qld.gov.au/industry/building-construction/electrical-contracting/licences/renewing-reinstating,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Apply for the Great Start Grant,http://www.qld.gov.au/housing/building-home/great-start-grant/,,,Apply for it,apply-for-it,Homes and housing,homes-and-housing,yes,yes,no,yes,no,
Check your eligibility for the Great Start Grant,http://www.qld.gov.au/housing/building-home/great-start-grant/,,,Apply for it,apply-for-it,Homes and housing,homes-and-housing,yes,yes,no,yes,no,
Withdraw a complaint about a fuel drive-off,http://www.police.qld.gov.au/apps/reports/withdrawComplaint/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,no,no,no,yes,
"Report licensed asbestos removal work, demolition work or emergency demolition",https://forms.business.gov.au/aba/qldgov4/notification-of-licensed-asbestos-removal-work-demolition-work-or-emergency-demolition/,,,Report it,report-it,Emergency services and safety,emergency-services-and-safety,yes,yes,no,no,yes,
Lodge insurance duty returns,https://www.business.qld.gov.au/industry/professional-financial/insurance-duty/lodging-returns,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Register to pay insurance duty,https://www.business.qld.gov.au/industry/professional-financial/insurance-duty/register,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Check the information on your land tax assessment notice,http://www.qld.gov.au/environment/land/tax/assessment/notice/,,,Report it,report-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,no,
Apply for extended payment options for land tax,http://www.qld.gov.au/environment/land/tax/payment/extended/,,,Apply for it,apply-for-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Check if you owe land tax,http://www.qld.gov.au/environment/land/tax/payment/clearance/,,,Find it,find-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Learn about payment options for land tax,http://www.qld.gov.au/environment/land/tax/payment/options/,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Set up direct payment  of land tax,http://www.qld.gov.au/environment/land/tax/payment/direct/,,,Pay it,pay-it,"Environment, land and water",environment-land-and-water,yes,yes,no,yes,yes,
Change your business details for payroll tax ,https://www.business.qld.gov.au/business/employing/payroll-tax/report-change-conditions,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Lodge and pay your payroll tax,https://www.business.qld.gov.au/business/employing/payroll-tax/lodging,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Register to pay payroll tax,http://www.business.qld.gov.au/business/employing/payroll-tax/registering,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Report a change in business conditions for payroll tax,http://www.business.qld.gov.au/business/employing/payroll-tax/report-change-conditions,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Apply to pay your fine by instalments,http://www.qld.gov.au/law/fines-and-penalties/overdue-fines/instalment-plans/,,,Apply for it,apply-for-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,no,
Lodging mining and resource royalty returns ,https://www.business.qld.gov.au/industry/mining/applications-compliance/rents-royalties/royalties/lodging-returns,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Pay your mining and resource royalties,https://www.business.qld.gov.au/industry/mining/applications-compliance/rents-royalties/royalties/paying/methods,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,yes,
Pay your fine,http://www.qld.gov.au/law/fines-and-penalties/overdue-fines/payment-options/,,,Pay it,pay-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,no,yes,
Report tax evasion or grant fraud,http://www.qld.gov.au/law/laws-regulated-industries-and-accountability/money-tax-and-trust-accounts/money-and-finance/report-someone-for-tax-evasion-or-grant-fraud/,,,Report it,report-it,"Your rights, crime and the law",your-rights-crime-and-the-law,yes,yes,no,yes,yes,
Calculate your transfer duty liability,https://www.business.qld.gov.au/industry/professional-financial/transfer-duty/self-assessors/essentials/lodging-transactions,,,Report it,report-it,Homes and housing,homes-and-housing,yes,yes,no,yes,yes,
Register for a Workplace Health and Safety Queensland event,http://www.business.qld.gov.au/business/running/workplace-health-safety,,,Apply for it,apply-for-it,Business and industry,business-and-industry,yes,no,no,no,no,
Apply for a High Risk Work (HRW) licence,https://www.business.qld.gov.au/business/running/workplace-health-safety/licences/apply-HRW,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Change your contact details on a High Risk Work (HRW) licence,https://www.business.qld.gov.au/business/running/workplace-health-safety/licences/renew-HRW,,,Report it,report-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Renew a High Risk Work (HRW) licence,https://www.business.qld.gov.au/business/running/workplace-health-safety/licences/renew-HRW,,,Pay it,pay-it,Business and industry,business-and-industry,yes,yes,no,yes,no,
Pay your transfer duty,https://www.qld.gov.au/housing/buying-owning-home/transfer-duty-payment-options/,,,Pay it,pay-it,Homes and housing,homes-and-housing,yes,yes,no,yes,yes,
Register for transfer duty as a self assessor,https://www.business.qld.gov.au/industry/professional-financial/transfer-duty/self-assessors/register,,,Apply for it,apply-for-it,Homes and housing,homes-and-housing,yes,yes,no,yes,yes,
